jobId,taskType,cntrId,start,startTime,execute,execTime,finish,finishTime
0,am,96,start,1,finish,18.136927139697992
0,m,16,start,2.0027094116979933,execute,2.136927139697993,finish,17.136927139697992
1,am,256,start,6,finish,48.12400000000406
1,m,17,start,7.002709411697993,execute,7.013000000000677,finish,22.013000000000677
1,r,17,start,22.013000000000677,execute,22.124000000004056,finish,47.12400000000406
2,am,512,start,8,finish,25.136927139697992
2,m,18,start,9.002709411697992,execute,9.136927139697992,finish,24.136927139697992
3,am,1056,start,9,finish,26.136927139697992
3,m,19,start,10.002709411697992,execute,10.136927139697992,finish,25.136927139697992
4,am,1024,start,17,finish,59.685000000012195
4,m,25,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,1169,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,723,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,26,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,27,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,28,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,724,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,1170,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,29,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,30,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,725,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,31,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,726,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,356,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,1171,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1172,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1173,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,357,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,727,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,1174,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1175,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,352,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,1176,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1177,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,728,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,729,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,720,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,730,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,358,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,731,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,359,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,721,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,1178,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1179,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,732,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,1180,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,733,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,1181,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,360,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,1182,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1183,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,361,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,734,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,1219,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,362,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,1168,start,18.014216508625065,execute,18.148434236625064,finish,33.148434236625064
4,m,1220,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,735,start,18.027333619913968,execute,18.161551347913967,finish,33.161551347913971
4,m,113,start,18.03288259483778,execute,18.16710032283778,finish,33.167100322837783
4,m,363,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,364,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,1221,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,16,start,18.002709411697992,execute,18.136927139697992,finish,33.136927139697988
4,m,1222,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,1223,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,1224,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,365,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,366,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,1225,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,367,start,18.028656710120472,execute,18.162874438120472,finish,33.162874438120468
4,m,114,start,18.03288259483778,execute,18.16710032283778,finish,33.167100322837783
4,m,115,start,18.03288259483778,execute,18.16710032283778,finish,33.167100322837783
4,m,1226,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
4,m,1227,start,18.030664712424866,execute,18.164882440424865,finish,33.164882440424861
