jobId,mapRackId,reduceRackId,time,event
job4,1,2,33.134217727999996,request
job4,0,2,33.134217727999996,request
job4,1,2,33.644981040840001,finish
job4,0,2,34.148635130060001,finish
job7,2,1,90.402653184000002,request
job7,1,1,90.402653184000002,finish
job7,2,1,101.5797492096,finish
job45,1,1,342.52721772752477,finish
job34,2,1,380.55107971915703,request
job34,2,2,380.55107971915703,finish
job34,0,1,380.69298876344214,request
job34,0,2,380.69298876344214,request
job34,2,1,380.9919529256,finish
job34,0,2,381.13195292559999,finish
job34,0,1,381.4319529256,finish
job73,0,1,562.27479674465928,request
job73,0,1,564.79663179620002,finish
job73,1,1,567.05230697640957,finish
