jobId,taskType,cntrId,start,startTime,execute,execTime,finish,finishTime
0,am,864,start,1,finish,18.116999999999877
0,m,400,start,2.008024728775807,execute,2.116999999999878,finish,17.116999999999877
1,am,1008,start,6,finish,48.228000000004187
1,m,401,start,7.008024728775807,execute,7.117000000000711,finish,22.117000000000711
1,r,401,start,22.117000000000711,execute,22.228000000004183,finish,47.228000000004187
2,am,832,start,8,finish,25.117000000000388
2,m,403,start,9.008024728775807,execute,9.117000000000386,finish,24.117000000000388
3,am,402,start,9,finish,26.116999999999834
3,m,404,start,10.008024728775807,execute,10.116999999999832,finish,25.116999999999834
4,am,865,start,17,finish,59.763395236310004
4,m,320,start,18,execute,18.134217728,finish,33.134217727999996
4,m,336,start,18,execute,18.134217728,finish,33.134217727999996
4,m,440,start,18,execute,18.134217728,finish,33.134217727999996
4,m,368,start,18,execute,18.134217728,finish,33.134217727999996
4,m,384,start,18,execute,18.134217728,finish,33.134217727999996
4,m,400,start,18,execute,18.134217728,finish,33.134217727999996
4,m,416,start,18,execute,18.134217728,finish,33.134217727999996
4,m,432,start,18,execute,18.134217728,finish,33.134217727999996
4,m,448,start,18,execute,18.134217728,finish,33.134217727999996
4,m,464,start,18,execute,18.134217728,finish,33.134217727999996
4,m,480,start,18,execute,18.134217728,finish,33.134217727999996
4,m,496,start,18,execute,18.134217728,finish,33.134217727999996
4,m,512,start,18,execute,18.134217728,finish,33.134217727999996
4,m,528,start,18,execute,18.134217728,finish,33.134217727999996
4,m,544,start,18,execute,18.134217728,finish,33.134217727999996
4,m,560,start,18,execute,18.134217728,finish,33.134217727999996
4,m,576,start,18,execute,18.134217728,finish,33.134217727999996
4,m,592,start,18,execute,18.134217728,finish,33.134217727999996
4,m,608,start,18,execute,18.134217728,finish,33.134217727999996
4,m,624,start,18,execute,18.134217728,finish,33.134217727999996
4,m,321,start,18,execute,18.134217728,finish,33.134217727999996
4,m,337,start,18,execute,18.134217728,finish,33.134217727999996
4,m,241,start,18,execute,18.134217728,finish,33.134217727999996
4,m,369,start,18,execute,18.134217728,finish,33.134217727999996
4,m,385,start,18,execute,18.134217728,finish,33.134217727999996
4,m,405,start,18,execute,18.134217728,finish,33.134217727999996
4,m,96,start,18,execute,18.134217728,finish,33.134217727999996
4,m,433,start,18,execute,18.134217728,finish,33.134217727999996
4,m,449,start,18,execute,18.134217728,finish,33.134217727999996
4,m,465,start,18,execute,18.134217728,finish,33.134217727999996
4,m,481,start,18,execute,18.134217728,finish,33.134217727999996
4,m,497,start,18,execute,18.134217728,finish,33.134217727999996
4,m,513,start,18,execute,18.134217728,finish,33.134217727999996
4,m,529,start,18,execute,18.134217728,finish,33.134217727999996
4,m,545,start,18,execute,18.134217728,finish,33.134217727999996
4,m,561,start,18,execute,18.134217728,finish,33.134217727999996
4,m,577,start,18,execute,18.134217728,finish,33.134217727999996
4,m,593,start,18,execute,18.134217728,finish,33.134217727999996
4,m,609,start,18,execute,18.134217728,finish,33.134217727999996
4,m,625,start,18,execute,18.134217728,finish,33.134217727999996
4,m,322,start,18,execute,18.134217728,finish,33.134217727999996
4,m,338,start,18,execute,18.134217728,finish,33.134217727999996
4,m,242,start,18,execute,18.134217728,finish,33.134217727999996
4,m,370,start,18,execute,18.134217728,finish,33.134217727999996
4,m,386,start,18,execute,18.134217728,finish,33.134217727999996
4,m,80,start,18,execute,18.134217728,finish,33.134217727999996
4,m,146,start,18,execute,18.134217728,finish,33.134217727999996
4,m,434,start,18,execute,18.134217728,finish,33.134217727999996
4,m,450,start,18,execute,18.134217728,finish,33.134217727999996
4,m,466,start,18,execute,18.134217728,finish,33.134217727999996
4,m,482,start,18,execute,18.134217728,finish,33.134217727999996
4,m,498,start,18,execute,18.134217728,finish,33.134217727999996
4,m,514,start,18,execute,18.134217728,finish,33.134217727999996
4,m,208,start,18,execute,18.134217728,finish,33.134217727999996
4,m,546,start,18,execute,18.134217728,finish,33.134217727999996
4,m,562,start,18,execute,18.134217728,finish,33.134217727999996
4,m,578,start,18,execute,18.134217728,finish,33.134217727999996
4,m,272,start,18,execute,18.134217728,finish,33.134217727999996
4,m,112,start,18,execute,18.134217728,finish,33.134217727999996
4,m,304,start,18,execute,18.134217728,finish,33.134217727999996
4,m,243,start,18,execute,18.134217728,finish,33.134217727999996
4,m,193,start,18,execute,18.134217728,finish,33.134217727999996
4,m,32,start,18,execute,18.134217728,finish,33.134217727999996
4,m,371,start,18,execute,18.134217728,finish,33.134217727999996
4,m,64,start,18,execute,18.134217728,finish,33.134217727999996
4,m,244,start,18,execute,18.134217728,finish,33.134217727999996
4,m,245,start,18,execute,18.134217728,finish,33.134217727999996
4,m,435,start,18,execute,18.134217728,finish,33.134217727999996
4,m,451,start,18,execute,18.134217728,finish,33.134217727999996
4,m,467,start,18,execute,18.134217728,finish,33.134217727999996
4,m,483,start,18,execute,18.134217728,finish,33.134217727999996
4,m,176,start,18,execute,18.134217728,finish,33.134217727999996
4,m,515,start,18,execute,18.134217728,finish,33.134217727999996
4,m,209,start,18,execute,18.134217728,finish,33.134217727999996
4,m,547,start,18,execute,18.134217728,finish,33.134217727999996
4,m,563,start,18,execute,18.134217728,finish,33.134217727999996
4,m,579,start,18,execute,18.134217728,finish,33.134217727999996
4,m,273,start,18,execute,18.134217728,finish,33.134217727999996
4,m,288,start,18,execute,18.134217728,finish,33.134217727999996
4,m,194,start,18,execute,18.134217728,finish,33.134217727999996
4,m,0,start,18,execute,18.134217728,finish,33.134217727999996
4,m,147,start,18,execute,18.134217728,finish,33.134217727999996
