jobId,mapRackId,reduceRackId,time,event
job9,3,1,122.134217728,request
job9,1,1,122.134217728,finish
job9,3,1,122.63863513006,finish
job39,2,1,559.40265318399986,request
job39,0,1,559.40265318399986,request
job39,2,1,570.57974920959998,finish
job39,0,1,581.73521828614992,finish
job70,0,0,886.34148225117258,finish
job70,2,0,898.58040036464354,request
job70,2,0,899.88711541360999,finish
job56,3,2,989.24760546272717,request
job56,3,3,989.24760546272717,finish
job56,3,2,989.68195292559994,finish
job56,1,3,991.29153806871136,request
job56,1,2,991.29153806871136,request
job56,1,3,991.73195292560001,finish
job56,1,2,991.73195292560001,finish
job115,2,1,1424.2684354560001,request
job115,0,1,1424.2684354560001,request
job115,2,1,1426.7866317962,finish
job115,0,1,1429.3124074455,finish
job137,0,3,1702.1342177280001,request
job137,2,3,1702.1342177280001,request
job137,0,3,1703.7074758915601,finish
job137,2,3,1705.27747589156,finish
job139,0,3,1713.1342177280001,request
job139,2,3,1713.1342177280001,request
job139,0,3,1713.6568133257001,finish
job139,2,3,1714.1768133257001,finish
job152,2,0,1817.1342177280001,request
job152,0,0,1817.1342177280001,finish
job152,2,0,1818.1892634606202,finish
job158,0,1,1905.1342177280001,request
job158,2,1,1905.1342177280001,request
job158,0,1,1907.6688281060001,finish
job159,0,2,1910.1342177280001,request
job159,2,2,1910.1342177280001,finish
job158,2,1,1910.1862339654701,finish
job159,0,2,1912.7938291591402,finish
job160,0,2,1920.2684354560001,request
job160,2,2,1920.2684354560001,finish
job160,0,2,1922.2701659806601,finish
job192,2,0,2280.4898007396318,request
job192,0,0,2280.513015354165,finish
job192,2,0,2285.0420129620602,finish
job205,1,0,2435.1342177279998,request
job205,0,0,2435.1342177279998,finish
job205,1,0,2435.4338604319701,finish
job227,1,3,2614.4026531839995,request
job227,0,3,2614.4026531839995,request
job227,1,3,2626.2946243816,finish
job227,0,3,2638.1692427437997,finish
job243,2,0,2742.2684354559997,request
job243,3,0,2742.2684354559997,request
job243,2,0,2744.7860916875402,finish
job243,3,0,2747.3060916875402,finish
job244,3,2,2748.1342177279998,request
job244,2,2,2748.1342177279998,finish
job244,3,2,2748.3022481909798,finish
job257,3,2,2879.1342177279998,request
job257,2,2,2879.1342177279998,finish
job257,3,2,2879.2860836653299,finish
job284,3,2,3176.1342177279998,request
job284,2,2,3176.1342177279998,finish
job284,3,2,3176.2742630503999,finish
job294,3,0,3287.1342177279998,request
job294,3,0,3287.34423681629,finish
job364,3,1,4250.1342177280003,request
job364,2,1,4250.1342177280003,request
job364,3,1,4250.2863954077602,finish
job364,2,1,4250.4283721484808,finish
job400,3,1,4589.1342177280003,request
job400,1,1,4589.1342177280003,finish
job400,3,1,4589.2804090981399,finish
job401,3,2,4613.2684354560006,request
job401,2,2,4613.2684354560006,finish
job401,3,2,4614.7051504605206,finish
job424,1,3,4905.2684354560006,request
job424,0,3,4905.2684354560006,request
job424,1,3,4906.3645332494007,finish
job424,0,3,4907.4645332494001,finish
job434,2,0,4981.2684354560006,request
job434,3,0,4981.2684354560006,request
job434,2,0,4981.5631776159407,finish
job434,3,0,4981.86317761594,finish
job472,1,0,5301.2684354560006,request
job472,0,0,5301.2684354560006,finish
job472,1,0,5301.9404306898005,finish
job515,2,0,5732.1342177280003,request
job515,1,0,5732.1342177280003,request
job515,2,0,5733.4163743987401,finish
job515,1,0,5734.6963743987408,finish
job481,0,2,5766.2949672959985,request
job481,3,2,5766.2949672959985,request
job481,0,2,5780.7745141771902,finish
job481,3,2,5795.2666999515604,finish
job525,1,3,5861.2684354560006,request
job525,1,3,5865.6559125916601,finish
job532,1,0,5886.2684354560006,request
job532,1,0,5887.4104496050204,finish
job525,2,3,5986.6189822463111,request
job525,2,3,5991.0059125916596,finish
job532,2,0,6016.8874177023117,request
job532,2,0,6018.0304496050203,finish
job551,2,1,6090.2684354560006,request
job551,1,1,6090.2684354560006,finish
job551,2,1,6091.8228291527403,finish
