jobId,mapRackId,reduceRackId,time,event
job4,3,1,33.134217727999996,request
job4,0,1,33.134217727999996,request
job4,3,1,33.644981040840001,finish
job4,0,1,34.148635130060001,finish
job7,1,0,90.402653184000002,request
job7,2,0,90.402653184000002,request
job7,1,0,101.5797492096,finish
job7,2,0,112.73521828615,finish
job45,1,2,328.13421772800001,request
job45,2,2,328.13421772800001,finish
job45,1,2,329.43711541361,finish
job34,0,3,380.5319970057011,request
job34,0,0,380.5319970057011,finish
job34,3,0,380.58522542629555,request
job34,3,3,380.58522542629555,finish
job34,0,3,380.97195292560002,finish
job34,3,0,381.02195292560003,finish
job73,1,2,531.95935091485956,request
job73,2,2,531.99332580410521,finish
job73,1,2,534.48240744550003,finish
