jobId,mapRackId,reduceRackId,time,event
job4,2,1,33.134217727999996,request
job4,1,1,33.134217727999996,finish
job4,2,1,33.638635130060003,finish
job7,0,2,90.402653184000002,request
job7,1,2,90.402653184000002,request
job7,0,2,101.5797492096,finish
job7,1,2,112.73521828615,finish
job45,1,1,343.26843545600002,finish
job34,0,1,380.59564613489323,request
job34,0,0,380.59564613489323,finish
job34,2,1,380.59762729225974,request
job34,2,0,380.59762729225974,request
job34,0,1,381.03195292560002,finish
job34,2,0,381.03195292560002,finish
job34,2,1,381.47195292560002,finish
job73,2,0,547.43461037573525,request
job73,2,0,549.9566317962001,finish
job73,1,0,596.70461862875004,request
job73,1,0,599.23240744550003,finish
