jobId,numMaps,numReduces
job0,1,0
job1,1,1
job2,1,0
job3,1,0
job4,1,1
job5,4,0
job6,1,1
job7,1,0
job8,1,0
job9,1,0
job10,1,0
job11,1,1
job12,1327,166
job13,216,27
job14,17,0
job15,1,1
job16,1,0
job17,1327,166
job18,7,1
job19,6,1
job20,6,1
job21,6,1
job22,6,1
job23,6,1
job24,6,1
job25,1,0
job26,1,1
job27,1,1
job28,1327,166
job29,1327,166
job30,1327,166
job31,1,1
job32,1,0
job33,1,0
job34,216,27
job35,3,0
job36,58,0
job37,1,0
job38,1,1
job39,1,0
job40,1,0
job41,1,1
job42,1,1
job43,16,2
job44,1,1
job45,216,27
job46,1,0
