jobId,mapRackId,reduceRackId,time,event
job9,0,1,122.134217728,request
job9,1,1,122.134217728,finish
job9,0,1,122.64498104083999,finish
job39,2,0,559.40265318399986,request
job39,0,0,559.40265318399986,finish
job39,2,0,570.57974920959998,finish
job70,0,0,885.70796796056663,finish
job56,1,2,991.33231762057017,request
job56,1,1,991.33231762057017,finish
job56,2,1,991.34309023894912,request
job56,2,2,991.34309023894912,finish
job56,1,2,991.77195292559998,finish
job56,2,1,991.78195292559997,finish
job115,1,2,1424.2684354560001,request
job115,0,2,1424.2684354560001,request
job115,1,2,1426.7866317962,finish
job115,0,2,1429.3124074455,finish
job137,0,2,1702.1342177280001,request
job137,1,2,1702.1342177280001,request
job137,0,2,1703.7074758915601,finish
job137,1,2,1705.27747589156,finish
job139,0,1,1713.1342177280001,request
job139,1,1,1713.1342177280001,finish
job139,0,1,1713.6568133257001,finish
job152,0,1,1817.1342177280001,request
job152,1,1,1817.1342177280001,finish
job152,0,1,1818.1892634606202,finish
job158,0,1,1905.1342177280001,request
job158,2,1,1905.1342177280001,request
job158,0,1,1907.6688281060001,finish
job159,1,0,1910.1342177280001,request
job159,0,0,1910.1342177280001,finish
job158,2,1,1910.1862339654701,finish
job159,1,0,1912.7938291591402,finish
job160,2,1,1916.1342177280001,request
job160,2,1,1918.1401659806602,finish
job160,0,1,1920.2684354560001,request
job160,0,1,1922.2701659806601,finish
job192,1,2,2280.4478210881034,request
job192,0,2,2280.5081327740909,request
job192,1,2,2285.0020129620602,finish
job192,0,2,2289.5771027061201,finish
job205,2,0,2435.1342177279998,request
job205,0,0,2435.1342177279998,finish
job205,2,0,2435.4269370068,finish
job227,0,2,2614.4026531839995,request
job227,2,2,2614.4026531839995,finish
job227,0,2,2626.2946243816,finish
job243,0,1,2742.2684354559997,request
job243,1,1,2742.2684354559997,finish
job243,0,1,2744.7860916875402,finish
job244,0,1,2748.1342177279998,request
job244,1,1,2748.1342177279998,finish
job244,0,1,2748.3022481909798,finish
job257,1,0,2879.1342177279998,request
job257,0,0,2879.1342177279998,finish
job257,1,0,2879.2780787438401,finish
job284,0,2,3176.1342177279998,request
job284,1,2,3176.1342177279998,request
job284,0,2,3176.2742630503999,finish
job284,1,2,3176.4069534591999,finish
job294,0,1,3287.1342177279998,request
job294,0,1,3287.34423681629,finish
job364,1,0,4250.1342177280003,request
job364,0,0,4250.1342177280003,finish
job364,1,0,4250.2783721484802,finish
job400,0,2,4589.1342177280003,request
job400,1,2,4589.1342177280003,request
job400,0,2,4589.2804090981399,finish
job400,1,2,4589.4227379747199,finish
job401,1,0,4613.2684354560006,request
job401,0,0,4613.2684354560006,finish
job401,1,0,4614.7051504605206,finish
job424,0,2,4905.2684354560006,request
job424,2,2,4905.2684354560006,finish
job424,0,2,4906.3645332494007,finish
job434,0,1,4981.2684354560006,request
job434,1,1,4981.2684354560006,finish
job434,0,1,4981.5631776159407,finish
job472,0,2,5301.2684354560006,request
job472,2,2,5301.2684354560006,finish
job472,0,2,5301.9404306898005,finish
job515,2,1,5732.1342177280003,request
job515,2,1,5733.4163743987401,finish
job515,1,1,5747.2684354560006,finish
job481,0,1,5766.2949672959985,request
job481,1,1,5766.2949672959985,finish
job481,0,1,5780.7745141771902,finish
job525,2,0,5861.2684354560006,request
job525,0,0,5861.2684354560006,finish
job525,2,0,5865.6559125916601,finish
job532,2,2,5886.2684354560006,finish
job532,1,2,5972.1267964719409,request
job532,1,2,5973.2704496050201,finish
job551,0,2,6090.2684354560006,request
job551,2,2,6090.2684354560006,finish
job551,0,2,6091.8228291527403,finish
