jobId,mapRackId,reduceRackId,time,event
job4,1,2,23.134217727999999,request
job4,2,2,23.134217727999999,finish
job4,1,2,23.644217728000001,finish
job14,0,1,95.402653184000002,request
job14,1,1,95.402653184000002,finish
job14,0,1,106.572653184,finish
job20,1,1,110.536870912,finish
job21,1,1,140.805306368,finish
job35,1,1,181.51510198987501,finish
job40,1,2,186.13421772800001,request
job40,1,2,187.16421772800001,finish
job17,2,1,200.20795955200003,request
job17,2,0,200.20795955200003,request
job17,2,1,200.67795955200003,finish
job17,2,0,200.67795955200003,finish
job17,0,1,201.34217728000004,request
job17,0,0,201.34217728000004,finish
job17,0,1,201.74217728000005,finish
job41,1,2,206.26843545600002,request
job41,1,2,207.95843545600002,finish
job41,2,2,215.34217728000004,finish
job46,1,2,216.40265318400003,request
job46,0,2,216.47639500800005,request
job46,1,2,218.39265318400004,finish
job46,0,2,219.53639500800006,finish
job53,0,2,242.13421772800001,request
job53,0,2,245.13421772800001,finish
job53,1,2,246.41878288250004,request
job53,1,2,248.73878288250003,finish
job62,1,2,272.13421772800001,request
job62,2,2,272.13421772800001,finish
job62,1,2,274.144217728,finish
job67,0,2,299.76741660453388,request
job67,1,2,302.40265318400003,request
job67,0,2,304.32741660453388,finish
job67,1,2,306.97265318400002,finish
